Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
20317.0,2014-02-08,Rockets,, Robert Covington,placed on IL
20318.0,2014-02-09,76ers,, Brandon Davies,placed on IL with fractured right pinky finger
20319.0,2014-02-09,Clippers,, Byron Mullens / B.J. Mullens,placed on IL
20320.0,2014-02-09,Clippers, Chris Paul,,activated from IL
20321.0,2014-02-09,Kings, Marcus Thornton (T.),,activated from IL
20322.0,2014-02-09,Kings, Rudy Gay,,activated from IL
20323.0,2014-02-09,76ers, Arnett Moultrie,,activated from IL
20324.0,2014-02-10,Raptors,, Amir Johnson,placed on IL with ankle injury
20325.0,2014-02-10,Raptors, Dwight Buycks,,activated from IL
20326.0,2014-02-10,Rockets,, Greg Smith (b. 1991-01-08),placed on IL with sore right knee
20327.0,2014-02-10,Warriors,, Jermaine O'Neal,placed on IL with sore right wrist (P) / back injury (CBC)
20328.0,2014-02-10,Warriors, David Lee,,activated from IL
20329.0,2014-02-10,Rockets, Robert Covington,,activated from IL
20330.0,2014-02-11,Heat,, Dwyane Wade,placed on IL with migraine headache
20331.0,2014-02-11,Heat, James Jones (Andrew),,activated from IL
20332.0,2014-02-12,Blazers,, Joel Freeland,placed on IL wiwth sprained MCL in right knee
20333.0,2014-02-12,Cavaliers,, Anderson Varejao,placed on IL with sore back
20334.0,2014-02-12,Clippers,, Willie Green,placed on IL with hip injury (P)
20335.0,2014-02-12,Clippers, Byron Mullens / B.J. Mullens,,activated from IL
20336.0,2014-02-12,Heat,, James Jones (Andrew),placed on IL
20337.0,2014-02-12,Heat, Dwyane Wade,,activated from IL
20338.0,2014-02-12,Cavaliers, Sergey Karasev,,activated from IL
20339.0,2014-02-13,Thunder, Andre Roberson,,activated from IL
20340.0,2014-02-18,Bucks,, Larry Sanders (b. 1988-11-21),placed on IL recovering from surgery to repair fractured orbital bone
20341.0,2014-02-18,Bucks, Caron Butler,,activated from IL
20342.0,2014-02-18,Clippers, Willie Green,,activated from IL
20343.0,2014-02-18,Grizzlies, Mike Conley Jr.,,activated from IL
20344.0,2014-02-18,Heat, Dwyane Wade,,activated from IL (CBC)
20345.0,2014-02-18,Pacers,, Solomon Hill,placed on IL
20346.0,2014-02-18,Pacers, Orlando Johnson,,activated from IL
20347.0,2014-02-18,Pistons,, Charlie Villanueva,placed on IL
20348.0,2014-02-18,Pistons,, Chauncey Billups,placed on IL with left knee injury (out for season)
20349.0,2014-02-18,Pistons, Peyton Siva,,activated from IL
20350.0,2014-02-18,Pistons, Tony Mitchell (LaShae),,activated from IL
20351.0,2014-02-18,Raptors,, Austin Daye,placed on IL
20352.0,2014-02-18,Raptors,, Dwight Buycks,placed on IL
20353.0,2014-02-18,Raptors, Amir Johnson,,activated from IL
20354.0,2014-02-18,Spurs,, (William) Tony Parker,placed on IL with sore back
20355.0,2014-02-18,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
20356.0,2014-02-18,Cavaliers,, Sergey Karasev,placed on IL
20357.0,2014-02-18,Cavaliers, Anderson Varejao,,activated from IL
20358.0,2014-02-19,Blazers,, Meyers Leonard,placed on IL with sprained left ankle
20359.0,2014-02-19,Blazers, Victor Claver,,activated from IL
20360.0,2014-02-19,Celtics,, Avery Bradley,placed on IL with sore right ankle
20361.0,2014-02-19,Celtics, Vitor Faverani,,activated from IL
20362.0,2014-02-19,Jazz,, Derrick Favors,placed on IL with sprained right hip
20363.0,2014-02-19,Jazz, Malcolm Thomas (b. 1988-11-08),,activated from IL
20364.0,2014-02-19,Kings,, DeMarcus Cousins,placed on IL with strained left hip flexor
20365.0,2014-02-19,Pelicans,, Jason Smith,placed on IL with right knee injury
20366.0,2014-02-19,Rockets,, Robert Covington,placed on IL
20367.0,2014-02-19,Rockets, Greg Smith (b. 1991-01-08),,activated from IL
20368.0,2014-02-19,Warriors, Jermaine O'Neal,,activated from IL
20369.0,2014-02-20,Thunder, Russell Westbrook,,activated from IL
20370.0,2014-02-21,Kings, DeMarcus Cousins,,activated from IL
20371.0,2014-02-21,Knicks,, Iman Shumpert,placed on IL with sprained MCL in knee
20372.0,2014-02-21,Pistons,, Tony Mitchell (LaShae),placed on IL
20373.0,2014-02-21,Pistons, Josh Harrellson,,activated from IL
20374.0,2014-02-21,Suns, Archie Goodwin,,activated from IL
20375.0,2014-02-22,Kings,, Jason Terry,placed on IL recovering from surgery on left knee (out for season)
20376.0,2014-02-22,Wizards, Al Harrington,,activated from IL
20377.0,2014-02-23,Cavaliers,, Anderson Varejao,placed on IL with sore back
20378.0,2014-02-23,Cavaliers, Sergey Karasev,,activated from IL
20379.0,2014-02-23,Heat,, LeBron James,placed on IL with fractured nose
20380.0,2014-02-23,Heat, James Jones (Andrew),,activated from IL
20381.0,2014-02-23,Raptors,, Julyan Stone,placed on IL
20382.0,2014-02-23,Thunder,, Kendrick Perkins,placed on IL with left groin injury
20383.0,2014-02-24,Jazz,, Malcolm Thomas (b. 1988-11-08),placed on IL
20384.0,2014-02-24,Jazz, Derrick Favors,,activated from IL
20385.0,2014-02-24,Warriors,, David Lee,placed on IL with illness
20386.0,2014-02-24,Warriors,, Ognjen Kuzmic / Ognen Kuzmic,placed on IL
20387.0,2014-02-24,Warriors, Andrew Bogut,,activated from IL
20388.0,2014-02-25,Magic,, Arron Afflalo,placed on IL with sprained right ankle
20389.0,2014-02-25,Wizards,, Nene / Nene Hilario / Maybyner Hilario,placed on IL with left knee injury
20390.0,2014-02-25,Wizards, Glen Rice Jr.,,activated from IL
20391.0,2014-02-26,Pistons, Tony Mitchell (LaShae),,activated from IL
20392.0,2014-02-26,Spurs, Kawhi Leonard,,activated from IL
20393.0,2014-02-26,Warriors, David Lee,,activated from IL
20394.0,2014-02-27,Heat, LeBron James,,activated from IL
20395.0,2014-02-27,Wizards,, Glen Rice Jr.,placed on IL
20396.0,2014-02-28,Grizzlies,, Jamaal Franklin,placed on IL
20397.0,2014-02-28,Kings,, Carl Landry,placed on IL with torn medial meniscus in right knee (out for season)
20398.0,2014-03-01,Blazers,, Thomas Robinson,placed on IL with strained patella in left knee
20399.0,2014-03-01,Blazers, Meyers Leonard,,activated from IL
20400.0,2014-03-01,Clippers,, Danny Granger,placed on IL
20401.0,2014-03-01,Heat,, DeAndre Liggins,placed on IL
20402.0,2014-03-01,Heat,, James Jones (Andrew),placed on IL
20403.0,2014-03-01,Pistons,, Josh Harrellson,placed on IL with knee injury
20404.0,2014-03-01,Pistons, Charlie Villanueva,,activated from IL
20405.0,2014-03-01,Timberwolves,, Robbie Hummel,placed on IL
20406.0,2014-03-01,Timberwolves, Kevin Martin,,activated from IL
20407.0,2014-03-01,Timberwolves, Nikola Pekovic,,activated from IL
20408.0,2014-03-02,Hawks, Pero Antic,,activated from IL
20409.0,2014-03-02,Knicks, Iman Shumpert,,activated from IL
20410.0,2014-03-02,Raptors,, Terrence Ross,placed on IL with sprained left ankle
20411.0,2014-03-02,Raptors, Julyan Stone,,activated from IL
20412.0,2014-03-02,Spurs,, Austin Daye,placed on IL
20413.0,2014-03-02,Spurs, (William) Tony Parker,,activated from IL
20414.0,2014-03-02,Thunder,, Thabo Sefolosha,placed on IL with strained left calf (CBC)
20415.0,2014-03-03,Heat,, Dwyane Wade,placed on IL with sore knees
